订单日期,地区,渠道,品类,销售额,订单数,客单价
2025-01-03,华南,电商,数码,2337.23,35,66.78
2025-01-04,华北,代理,数码,7159.9,14,511.42
2025-01-05,华东,电商,食品,87.09,6,14.52
2025-01-08,华东,代理,数码,7377.31,38,194.14
2025-01-09,西南,直营,家电,3966.32,9,440.7
2025-01-11,西南,直营,数码,5208.46,36,144.68
2025-01-12,华东,代理,家电,7367.83,36,204.66
2025-01-13,华东,代理,家电,8662.57,35,247.5
2025-01-16,华北,电商,食品,150.1,16,9.38
2025-01-17,华南,直营,服饰,710.86,22,32.31
2025-01-20,华北,代理,数码,2600.06,27,96.3
2025-01-21,华北,直营,食品,163.09,5,32.62
2025-01-23,华北,代理,服饰,768.14,38,20.21
2025-01-26,华东,直营,服饰,668.55,5,133.71
2025-01-27,华北,代理,食品,133.47,25,5.34
2025-01-29,华东,电商,服饰,415.14,8,51.89
2025-02-01,华东,直营,服饰,383.09,16,23.94
2025-02-04,西南,电商,数码,2878.27,26,110.7
2025-02-06,华南,电商,服饰,860.9,23,37.43
2025-02-09,华南,直营,数码,2935.01,15,195.67
2025-02-10,华东,电商,家电,6223.07,1,6223.07
2025-02-11,西南,代理,服饰,780.92,21,37.19
2025-02-12,华东,电商,食品,157.98,26,6.08
2025-02-13,西南,代理,食品,85.45,5,17.09
2025-02-14,西南,直营,数码,3878.71,4,969.68
2025-02-15,华东,代理,家电,9082.3,24,378.43
2025-02-16,华东,直营,食品,104.09,17,6.12
2025-02-18,华北,电商,数码,2584.44,32,80.76
2025-02-21,西南,电商,服饰,347.11,7,49.59
2025-02-23,华北,电商,家电,8870.53,14,633.61
2025-02-25,华南,代理,数码,6286.9,20,314.34
2025-02-26,华北,代理,服饰,1028.04,23,44.7
2025-02-27,华北,代理,家电,9882.1,13,760.16
2025-02-28,西南,代理,家电,5567.14,32,173.97
2025-03-02,华东,直营,服饰,667.01,13,51.31
2025-03-04,西南,代理,服饰,1066.74,24,44.45
2025-03-05,华南,直营,家电,8387.64,22,381.26
2025-03-06,西南,代理,数码,4681.77,23,203.56
2025-03-07,华东,电商,家电,8470.66,12,705.89
2025-03-10,华北,直营,食品,172.04,6,28.67
2025-03-11,华南,直营,数码,2790.63,30,93.02
2025-03-12,西南,代理,服饰,405.1,36,11.25
2025-03-13,华东,直营,数码,4953.11,9,550.35
2025-03-16,华南,直营,数码,3370.57,19,177.4
2025-03-17,华北,电商,食品,252.19,4,63.05
2025-03-19,西南,代理,食品,250.66,33,7.6
2025-03-20,华南,代理,数码,6947.36,12,578.95
2025-03-21,华南,直营,家电,8423.27,8,1052.91
2025-03-22,华北,代理,食品,241.4,7,34.49
2025-03-23,华南,直营,服饰,310.94,7,44.42
2025-03-26,华东,直营,食品,142.33,33,4.31
2025-03-27,华北,电商,食品,181.67,16,11.35
2025-03-29,华南,电商,家电,7829.69,26,301.14
2025-04-01,华北,直营,家电,7951.86,14,567.99
2025-04-03,华东,直营,服饰,394.39,9,43.82
2025-04-06,华南,代理,数码,4213.96,32,131.69
2025-04-07,华南,直营,食品,286.72,26,11.03
2025-04-09,西南,直营,服饰,539.74,24,22.49
2025-04-10,华北,代理,食品,167.14,2,83.57
2025-04-13,华北,代理,服饰,700.15,5,140.03
2025-04-14,华南,直营,数码,3449.65,3,1149.88
2025-04-15,华北,直营,食品,255.51,17,15.03
2025-04-18,华南,代理,食品,223.29,6,37.21
2025-04-20,华东,代理,家电,7920.31,5,1584.06
2025-04-22,华东,代理,数码,6537.38,6,1089.56
2025-04-23,华东,电商,数码,4533.74,22,206.08
2025-04-26,华北,代理,家电,3931.07,16,245.69
2025-04-27,华南,电商,数码,2963.4,20,148.17
2025-04-29,华南,电商,食品,180.02,12,15.0
2025-05-01,华北,直营,服饰,306.59,2,153.29
2025-05-02,西南,直营,食品,94.96,28,3.39
2025-05-05,西南,代理,服饰,845.45,15,56.36
2025-05-07,华南,代理,家电,7705.04,23,335.0
2025-05-08,华南,直营,数码,5522.58,17,324.86
